ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-02-05T00:00:00Z,1998.66037494885,-1591.7771122223471,-1591.7771122223471,-1591.7771122223471,-1408.4757928588776,-1408.4757928588776,-1408.4757928588776,-183.30131936346967,-183.30131936346967,-183.30131936346967,0,0,0,-2646.079984289582,3104.855795608807,1998.66037494885,1998.66037494885,406.88326272650283
2022-02-06T00:00:00Z,1999.0958814986145,-2243.949001744884,-2243.949001744884,-2243.949001744884,-2056.770894197444,-2056.770894197444,-2056.770894197444,-187.17810754743974,-187.17810754743974,-187.17810754743974,0,0,0,-2911.9980431003964,2550.4197964320388,1999.0958814986145,1999.0958814986145,-244.85312024626933
2022-02-07T00:00:00Z,1999.5313880483793,24.938126959801714,24.938126959801714,24.938126959801714,218.02919768216685,218.02919768216685,218.02919768216685,-193.09107072236515,-193.09107072236515,-193.09107072236515,0,0,0,-780.0799132616344,4830.437786582767,1999.5313880483793,1999.5313880483793,2024.4695150081811
2022-02-08T00:00:00Z,1999.966894598144,584.393345768472,584.393345768472,584.393345768472,784.9535587720525,784.9535587720525,784.9535587720525,-200.56021300358034,-200.56021300358034,-200.56021300358034,0,0,0,-137.6954756611268,5398.56230024221,1999.966894598144,1999.966894598144,2584.3602403666164
2022-02-09T00:00:00Z,2000.4024011479084,592.724512083147,592.724512083147,592.724512083147,801.7803570261224,801.7803570261224,801.7803570261224,-209.0558449429751,-209.0558449429751,-209.0558449429751,0,0,0,-70.17684865828828,5269.64931808453,2000.4024011479084,2000.4024011479084,2593.1269132310554
2022-02-10T00:00:00Z,2000.837907697673,614.4138847510022,614.4138847510022,614.4138847510022,832.427492740251,832.427492740251,832.427492740251,-218.01360798924884,-218.01360798924884,-218.01360798924884,0,0,0,-30.949477504148334,5350.11565697863,2000.837907697673,2000.837907697673,2615.251792448675
2022-02-11T00:00:00Z,2001.2734142474378,601.2058492918654,601.2058492918654,601.2058492918654,828.0560808314873,828.0560808314873,828.0560808314873,-226.85023153962183,-226.85023153962183,-226.85023153962183,0,0,0,-120.36909609093337,5298.651814586404,2001.2734142474378,2001.2734142474378,2602.4792635393032
2022-02-12T00:00:00Z,2001.7089207972026,-1643.4554131306538,-1643.4554131306538,-1643.4554131306538,-1408.4757928616389,-1408.4757928616389,-1408.4757928616389,-234.9796202690151,-234.9796202690151,-234.9796202690151,0,0,0,-2143.0025676698156,3230.791144935327,2001.7089207972026,2001.7089207972026,358.2535076665488
2022-02-13T00:00:00Z,2002.1444273469674,-2298.5997596741795,-2298.5997596741795,-2298.5997596741795,-2056.7708941969354,-2056.7708941969354,-2056.7708941969354,-241.82886547724394,-241.82886547724394,-241.82886547724394,0,0,0,-3045.789283772896,2305.650891234294,2002.1444273469674,2002.1444273469674,-296.4553323272121
2022-02-14T00:00:00Z,2002.5799338967322,-28.824582813642962,-28.824582813642962,-28.824582813642962,218.02919768390785,218.02919768390785,218.02919768390785,-246.85378049755082,-246.85378049755082,-246.85378049755082,0,0,0,-693.2136979305519,4829.415331040478,2002.5799338967322,2002.5799338967322,1973.7553510830892
2022-02-15T00:00:00Z,2003.0154404464968,535.3999822684337,535.3999822684337,535.3999822684337,784.9535587724993,784.9535587724993,784.9535587724993,-249.5535765040654,-249.5535765040654,-249.5535765040654,0,0,0,-508.27611866794496,5274.133705429438,2003.0154404464968,2003.0154404464968,2538.4154227149306
2022-02-16T00:00:00Z,2003.4509469962616,552.296036228921,552.296036228921,552.296036228921,801.7803570263028,801.7803570263028,801.7803570263028,-249.48432079738163,-249.48432079738163,-249.48432079738163,0,0,0,-158.18529525344334,5275.084869381492,2003.4509469962616,2003.4509469962616,2555.7469832251827
2022-02-17T00:00:00Z,2003.8864535460264,586.1566386499054,586.1566386499054,586.1566386499054,832.4274927409377,832.4274927409377,832.4274927409377,-246.2708540910325,-246.2708540910325,-246.2708540910325,0,0,0,-199.14837902558878,5394.2968836124965,2003.8864535460264,2003.8864535460264,2590.043092195932
