ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-26T00:00:00Z,1979.7379131529847,3896.5192791196905,3896.5192791196905,3896.5192791196905,3447.32811330506,3447.32811330506,3447.32811330506,753.1712417631536,753.1712417631536,753.1712417631536,-303.980075948523,-303.980075948523,-303.980075948523,0,0,0,3902.719959040126,7969.646954872875,1979.7379131529847,1979.7379131529847,5876.257192272675
2022-01-27T00:00:00Z,1980.2720088312494,3884.2635881461524,3884.2635881461524,3884.2635881461524,3318.287776862355,3318.287776862355,3318.287776862355,838.0700496444175,838.0700496444175,838.0700496444175,-272.0942383606195,-272.0942383606195,-272.0942383606195,0,0,0,3561.9087009481354,7988.674648914343,1980.2720088312494,1980.2720088312494,5864.535596977402
2022-01-28T00:00:00Z,1980.806104509514,2815.8748575677846,2815.8748575677846,2815.8748575677846,2187.433371920388,2187.433371920388,2187.433371920388,870.9616165829809,870.9616165829809,870.9616165829809,-242.52013093558386,-242.52013093558386,-242.52013093558386,0,0,0,2594.0962195533716,6954.046790642508,1980.806104509514,1980.806104509514,4796.680962077298
2022-01-29T00:00:00Z,1981.3402001877785,-1126.4565185075523,-1126.4565185075523,-1126.4565185075523,498.49166349415333,498.49166349415333,498.49166349415333,-1408.9806679142102,-1408.9806679142102,-1408.9806679142102,-215.96751408749526,-215.96751408749526,-215.96751408749526,0,0,0,-1259.9661182452323,2983.51238151253,1981.3402001877785,1981.3402001877785,854.8836816802261
2022-01-30T00:00:00Z,1981.874295866043,-3273.8289252554855,-3273.8289252554855,-3273.8289252554855,-1019.831604529381,-1019.831604529381,-1019.831604529381,-2060.97474707038,-2060.97474707038,-2060.97474707038,-193.02257365572507,-193.02257365572507,-193.02257365572507,0,0,0,-3413.3398441572763,883.9755748364202,1981.874295866043,1981.874295866043,-1291.9546293894425
2022-01-31T00:00:00Z,1982.4083915443077,-1790.1799309391283,-1790.1799309391283,-1790.1799309391283,-1830.5475947069256,-1830.5475947069256,-1830.5475947069256,214.50219404443783,214.50219404443783,214.50219404443783,-174.13453027664025,-174.13453027664025,-174.13453027664025,0,0,0,-1888.891988404256,2246.650351587339,1982.4083915443077,1982.4083915443077,192.2284606051794
2022-02-01T00:00:00Z,1982.9424872225723,-1256.2917144502892,-1256.2917144502892,-1256.2917144502892,-1889.935872719335,-1889.935872719335,-1889.935872719335,793.2503129423095,793.2503129423095,793.2503129423095,-159.60615467326468,-159.60615467326468,-159.60615467326468,0,0,0,-1389.6089525483578,2755.2067049478223,1982.9424872225723,1982.9424872225723,726.6507727722831
2022-02-02T00:00:00Z,1983.4765829008368,-961.0198330508173,-961.0198330508173,-961.0198330508173,-1564.6026681277494,-1564.6026681277494,-1564.6026681277494,753.1712417632788,753.1712417632788,753.1712417632788,-149.58840668634625,-149.58840668634625,-149.58840668634625,0,0,0,-1041.5214553701262,3361.626844335635,1983.4765829008368,1983.4765829008368,1022.4567498500195
2022-02-03T00:00:00Z,1984.0106785791013,-584.2341046780945,-584.2341046780945,-584.2341046780945,-1278.224851734892,-1278.224851734892,-1278.224851734892,838.0700496451294,838.0700496451294,838.0700496451294,-144.07930258833198,-144.07930258833198,-144.07930258833198,0,0,0,-708.9383780855545,3528.595681716249,1984.0106785791013,1984.0106785791013,1399.776573901007
2022-02-04T00:00:00Z,1984.544774257366,-475.22504782353894,-475.22504782353894,-475.22504782353894,-1203.259664627541,-1203.259664627541,-1203.259664627541,870.9616165889641,870.9616165889641,870.9616165889641,-142.92699978496262,-142.92699978496262,-142.92699978496262,0,0,0,-816.7235004927592,3624.569138732205,1984.544774257366,1984.544774257366,1509.319726433827
2022-02-05T00:00:00Z,1985.0788699356306,-2784.04407109899,-2784.04407109899,-2784.04407109899,-1229.2264295763757,-1229.2264295763757,-1229.2264295763757,-1408.98066791384,-1408.98066791384,-1408.98066791384,-145.83697360877423,-145.83697360877423,-145.83697360877423,0,0,0,-2854.2927378067384,1405.2977295047544,1985.0788699356306,1985.0788699356306,-798.9652011633596
2022-02-06T00:00:00Z,1985.612965613895,-3383.926255542227,-3383.926255542227,-3383.926255542227,-1170.568457800632,-1170.568457800632,-1170.568457800632,-2060.97474706985,-2060.97474706985,-2060.97474706985,-152.38305067174582,-152.38305067174582,-152.38305067174582,0,0,0,-3535.572397094016,874.7293878678797,1985.612965613895,1985.612965613895,-1398.3132899283319
2022-02-07T00:00:00Z,1986.1470612921596,-926.57320045461,-926.57320045461,-926.57320045461,-979.0534343224654,-979.0534343224654,-979.0534343224654,214.502194046189,214.502194046189,214.502194046189,-162.02196017833347,-162.02196017833347,-162.02196017833347,0,0,0,-1101.3632360966146,3232.9653407285286,1986.1470612921596,1986.1470612921596,1059.5738608375495
2022-02-08T00:00:00Z,1986.6811569704244,-147.12110670979408,-147.12110670979408,-147.12110670979408,-766.2604481539302,-766.2604481539302,-766.2604481539302,793.2503129420697,793.2503129420697,793.2503129420697,-174.11097149793386,-174.11097149793386,-174.11097149793386,0,0,0,-393.79682361205624,4010.273457131745,1986.6811569704244,1986.6811569704244,1839.5600502606303
