ds,trend,cap,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,is_final_2ld,is_final_2ld_lower,is_final_2ld_upper,is_final_day,is_final_day_lower,is_final_day_upper,is_final_week,is_final_week_lower,is_final_week_upper,is_first_2days,is_first_2days_lower,is_first_2days_upper,is_first_day,is_first_day_lower,is_first_day_upper,is_first_week,is_first_week_lower,is_first_week_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-02-01T00:00:00Z,1892.9132648723735,2500,-5917.572129007451,-5917.572129007451,-5917.572129007451,0,0,0,-2369.5374228611663,-2369.5374228611663,-2369.5374228611663,-2164.0635798370704,-2164.0635798370704,-2164.0635798370704,-4168.758044795419,-4168.758044795419,-4168.758044795419,0,0,0,0,0,0,0,0,0,0,0,0,-1092.5309019829676,-1092.5309019829676,-1092.5309019829676,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,-1799.2206219342527,-1799.2206219342527,-1799.2206219342527,-383.4960777671283,-383.4960777671283,-383.4960777671283,0,0,0,0,0,0,740.9350044987548,740.9350044987548,740.9350044987548,57.810568893412245,57.810568893412245,57.810568893412245,0,0,0,-5444.935796208495,-2555.798433284398,1892.9132648723735,1892.9132648723735,-4024.6588641350772
2022-02-02T00:00:00Z,1894.1654027878903,2500,-4276.587771974491,-4276.587771974491,-4276.587771974491,0,0,0,-2369.5374228611663,-2369.5374228611663,-2369.5374228611663,-2418.4289674278543,-2418.4289674278543,-2418.4289674278543,-2369.5374228611663,-2369.5374228611663,-2369.5374228611663,0,0,0,0,0,0,0,0,0,-1346.8962895737511,-1346.8962895737511,-1346.8962895737511,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-350.56691499624327,-350.56691499624327,-350.56691499624327,0,0,0,0,0,0,776.2088254648984,776.2088254648984,776.2088254648984,85.73670784587416,85.73670784587416,85.73670784587416,0,0,0,-3878.684964099712,-931.2379799016876,1894.1654027878903,1894.1654027878903,-2382.422369186601
2022-02-03T00:00:00Z,1895.415782983491,2500,-502.53967621426057,-502.53967621426057,-502.53967621426057,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-363.9192702138376,-363.9192702138376,-363.9192702138376,0,0,0,0,0,0,827.1121520078296,827.1121520078296,827.1121520078296,105.80011984585028,105.80011984585028,105.80011984585028,0,0,0,-62.76663118769136,2826.988267127364,1895.415782983491,1895.415782983491,1392.8761067692303
2022-02-04T00:00:00Z,1896.66440452192,2500,-643.585429019257,-643.585429019257,-643.585429019257,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-495.0614684873102,-495.0614684873102,-495.0614684873102,0,0,0,0,0,0,805.3230721532361,805.3230721532361,805.3230721532361,117.68564516891986,117.68564516891986,117.68564516891986,0,0,0,-206.34893163893642,2763.41335897008,1896.66440452192,1896.66440452192,1253.078975502663
2022-02-05T00:00:00Z,1897.9112664816055,2500,-3178.463226696134,-3178.463226696134,-3178.463226696134,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-743.3505784514836,-743.3505784514836,-743.3505784514836,0,0,0,0,0,0,-1484.8850128380948,-1484.8850128380948,-1484.8850128380948,121.30504244754808,121.30504244754808,121.30504244754808,0,0,0,-2752.670095597896,185.48947418015365,1897.9112664816055,1897.9112664816055,-1280.5519602145284
2022-02-06T00:00:00Z,1899.1563679566273,2500,-3972.8796788170384,-3972.8796788170384,-3972.8796788170384,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-942.984100257129,-942.984100257129,-942.984100257129,0,0,0,0,0,0,-2075.1593969932924,-2075.1593969932924,-2075.1593969932924,116.79649628748645,116.79649628748645,116.79649628748645,0,0,0,-3556.971307765047,-583.7695803672206,1899.1563679566273,1899.1563679566273,-2073.7233108604114
2022-02-07T00:00:00Z,1900.3997080566858,2500,-1444.0191593990544,-1444.0191593990544,-1444.0191593990544,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.5326778541032,-1071.5326778541032,-1071.5326778541032,0,0,0,0,0,0,0,0,0,-887.4701830015284,-887.4701830015284,-887.4701830015284,0,0,0,0,0,0,410.465355709753,410.465355709753,410.465355709753,104.51834574682424,104.51834574682424,104.51834574682424,0,0,0,-904.1041620539978,1916.9674963282093,1900.3997080566858,1900.3997080566858,456.3805486576314
2022-02-08T00:00:00Z,1901.6412859070676,2500,106.62856193457965,106.62856193457965,106.62856193457965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-719.3436788619942,-719.3436788619942,-719.3436788619942,0,0,0,0,0,0,740.9350044984558,740.9350044984558,740.9350044984558,85.03723629811815,85.03723629811815,85.03723629811815,0,0,0,584.1666531695785,3449.041845056793,1901.6412859070676,1901.6412859070676,2008.2698478416473
2022-02-09T00:00:00Z,1902.8811006486135,2500,201.1614888869643,201.1614888869643,201.1614888869643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-634.158377600442,-634.158377600442,-634.158377600442,0,0,0,0,0,0,776.208825464049,776.208825464049,776.208825464049,59.111041023357004,59.111041023357004,59.111041023357004,0,0,0,586.2369625528503,3386.6103802057473,1902.8811006486135,1902.8811006486135,2104.042589535578
2022-02-10T00:00:00Z,1904.1191514376853,2500,291.8254602187569,291.8254602187569,291.8254602187569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-562.9537218911959,-562.9537218911959,-562.9537218911959,0,0,0,0,0,0,827.1121520044996,827.1121520044996,827.1121520044996,27.66703010545289,27.66703010545289,27.66703010545289,0,0,0,632.9914656602516,3693.8601187714016,1904.1191514376853,1904.1191514376853,2195.9446116564422
