ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2023-03-09T00:00:00Z,2349.7863628307814,-383.45449299643553,-383.45449299643553,-383.45449299643553,0,0,0,0,0,0,0,0,0,0,0,0,-1386.2098920861556,-1386.2098920861556,-1386.2098920861556,0,0,0,0,0,0,798.0372073418488,798.0372073418488,798.0372073418488,204.71819174787095,204.71819174787095,204.71819174787095,0,0,0,-59.39142910468318,3801.7512575038645,2349.7863628307814,2349.7863628307814,1966.331869834346
2023-03-10T00:00:00Z,2350.1983252569917,-204.6373587900106,-204.6373587900106,-204.6373587900106,0,0,0,0,0,0,0,0,0,0,0,0,-1258.9623517038751,-1258.9623517038751,-1258.9623517038751,0,0,0,0,0,0,791.3013856046397,791.3013856046397,791.3013856046397,263.0236073092248,263.0236073092248,263.0236073092248,0,0,0,187.7301112656054,4063.0912428150205,2350.1983252569917,2350.1983252569917,2145.560966466981
2023-03-11T00:00:00Z,2350.610287683203,-2095.2552740518795,-2095.2552740518795,-2095.2552740518795,0,0,0,0,0,0,0,0,0,0,0,0,-949.1634349618561,-949.1634349618561,-949.1634349618561,0,0,0,0,0,0,-1463.9273945031123,-1463.9273945031123,-1463.9273945031123,317.8355554130885,317.8355554130885,317.8355554130885,0,0,0,-1596.901328266359,2253.822780117315,2350.610287683203,2350.610287683203,255.35501363132335
2023-03-12T00:00:00Z,2351.022250109413,-2391.332085473554,-2391.332085473554,-2391.332085473554,0,0,0,0,0,0,0,0,0,0,0,0,-684.8954122030539,-684.8954122030539,-684.8954122030539,0,0,0,0,0,0,-2074.6234087845546,-2074.6234087845546,-2074.6234087845546,368.18673551405385,368.18673551405385,368.18673551405385,0,0,0,-1877.580326223302,1961.6428117818737,2351.022250109413,2351.022250109413,-40.30983536414078
2023-03-13T00:00:00Z,2351.4342125356243,191.8208632009744,191.8208632009744,191.8208632009744,0,0,0,0,0,0,0,0,0,0,0,0,-625.2272721941346,-625.2272721941346,-625.2272721941346,0,0,0,0,0,0,403.8190813312265,403.8190813312265,403.8190813312265,413.22905406388253,413.22905406388253,413.22905406388253,0,0,0,634.7882474718044,4521.72105100514,2351.4342125356243,2351.4342125356243,2543.255075736599
2023-03-14T00:00:00Z,2351.8461749618345,497.64408227327294,497.64408227327294,497.64408227327294,0,0,0,0,0,0,0,0,0,0,0,0,-698.0452616449868,-698.0452616449868,-698.0452616449868,0,0,0,0,0,0,743.4385997416659,743.4385997416659,743.4385997416659,452.25074417659357,452.25074417659357,452.25074417659357,0,0,0,933.8806945919671,4761.350679477044,2351.8461749618345,2351.8461749618345,2849.4902572351075
2023-03-15T00:00:00Z,2352.2581373880457,591.5097589452215,591.5097589452215,591.5097589452215,0,0,0,0,0,0,0,0,0,0,0,0,-695.1344370878411,-695.1344370878411,-695.1344370878411,0,0,0,0,0,0,801.9545292792675,801.9545292792675,801.9545292792675,484.689666753795,484.689666753795,484.689666753795,0,0,0,1031.7608279699389,4948.924037574391,2352.2581373880457,2352.2581373880457,2943.7678963332673
2023-03-16T00:00:00Z,2352.6700998142564,800.3955827679893,800.3955827679893,800.3955827679893,0,0,0,0,0,0,0,0,0,0,0,0,-507.7841660674732,-507.7841660674732,-507.7841660674732,0,0,0,0,0,0,798.0372073412108,798.0372073412108,798.0372073412108,510.1425414942518,510.1425414942518,510.1425414942518,0,0,0,1325.5548517287014,4979.169540924694,2352.6700998142564,2352.6700998142564,3153.0656825822457
2023-03-17T00:00:00Z,2353.082062240467,1074.3677539195094,1074.3677539195094,1074.3677539195094,0,0,0,0,0,0,0,0,0,0,0,0,-245.3035996974197,-245.3035996974197,-245.3035996974197,0,0,0,0,0,0,791.3013856010975,791.3013856010975,791.3013856010975,528.3699680158314,528.3699680158314,528.3699680158314,0,0,0,1434.1757214562847,5301.641846533564,2353.082062240467,2353.082062240467,3427.4498161599768
2023-03-18T00:00:00Z,2353.494024666678,-1035.64513295849,-1035.64513295849,-1035.64513295849,0,0,0,0,0,0,0,0,0,0,0,0,-111.01494909088741,-111.01494909088741,-111.01494909088741,0,0,0,0,0,0,-1463.9273945061786,-1463.9273945061786,-1463.9273945061786,539.2972106385762,539.2972106385762,539.2972106385762,0,0,0,-541.4087921555285,3186.408045257133,2353.494024666678,2353.494024666678,1317.848891708188
2023-03-19T00:00:00Z,2353.905987092888,-1703.1057034204848,-1703.1057034204848,-1703.1057034204848,0,0,0,0,0,0,0,0,0,0,0,0,-171.49312674694852,-171.49312674694852,-171.49312674694852,0,0,0,0,0,0,-2074.6234087857665,-2074.6234087857665,-2074.6234087857665,543.0108321122303,543.0108321122303,543.0108321122303,0,0,0,-1217.2752984650122,2533.1545611396964,2353.905987092888,2353.905987092888,650.8002836724033
2023-03-20T00:00:00Z,2354.3179495190993,672.4894032685772,672.4894032685772,672.4894032685772,0,0,0,0,0,0,0,0,0,0,0,0,-271.08104683849785,-271.08104683849785,-271.08104683849785,0,0,0,0,0,0,403.8190813329804,403.8190813329804,403.8190813329804,539.7513687740949,539.7513687740949,539.7513687740949,0,0,0,1119.5752598389552,4924.220863817116,2354.3179495190993,2354.3179495190993,3026.807352787677
2023-03-21T00:00:00Z,2354.7299119453096,1081.4145362926145,1081.4145362926145,1081.4145362926145,0,0,0,0,0,0,0,0,0,0,0,0,-191.9264029108359,-191.9264029108359,-191.9264029108359,0,0,0,0,0,0,743.4385997413891,743.4385997413891,743.4385997413891,529.902339462061,529.902339462061,529.902339462061,0,0,0,1550.081043892225,5277.0069062078655,2354.7299119453096,2354.7299119453096,3436.144448237924
2023-03-22T00:00:00Z,2355.1418743715208,1421.136538828185,1421.136538828185,1421.136538828185,0,0,0,0,0,0,0,0,0,0,0,0,105.20603909085516,105.20603909085516,105.20603909085516,0,0,0,0,0,0,801.9545292795428,801.9545292795428,801.9545292795428,513.975970457787,513.975970457787,513.975970457787,0,0,0,1926.8686063211248,5671.158891138884,2355.1418743715208,2355.1418743715208,3776.278413199706
2023-03-23T00:00:00Z,2355.5538367977315,1715.3781799231108,1715.3781799231108,1715.3781799231108,0,0,0,0,0,0,0,0,0,0,0,0,424.74487606015293,424.74487606015293,424.74487606015293,0,0,0,0,0,0,798.0372073434633,798.0372073434633,798.0372073434633,492.5960965194947,492.5960965194947,492.5960965194947,0,0,0,2164.741647290371,6046.933170452729,2355.5538367977315,2355.5538367977315,4070.9320167208425
2023-03-24T00:00:00Z,2355.965799223942,1807.659260541907,1807.659260541907,1807.659260541907,0,0,0,0,0,0,0,0,0,0,0,0,549.8791130887727,549.8791130887727,549.8791130887727,0,0,0,0,0,0,791.3013856014493,791.3013856014493,791.3013856014493,466.4787618516849,466.4787618516849,466.4787618516849,0,0,0,2276.2699064962126,6029.632915829758,2355.965799223942,2355.965799223942,4163.625059765849
2023-03-25T00:00:00Z,2356.366633920072,-506.1203284643214,-506.1203284643214,-506.1203284643214,0,0,0,0,0,0,0,0,0,0,0,0,521.3959728839709,521.3959728839709,521.3959728839709,0,0,0,0,0,0,-1463.927394505119,-1463.927394505119,-1463.927394505119,436.41109315682655,436.41109315682655,436.41109315682655,0,0,0,-85.58553815686146,3719.556906578911,2356.366633920072,2356.366633920072,1850.2463054557509
2023-03-26T00:00:00Z,2356.7674686162018,-995.866944521378,-995.866944521378,-995.866944521378,0,0,0,0,0,0,0,0,0,0,0,0,675.5274155148035,675.5274155148035,675.5274155148035,0,0,0,0,0,0,-2074.623408783438,-2074.623408783438,-2074.623408783438,403.2290487472567,403.2290487472567,403.2290487472567,0,0,0,-585.9784624614264,3220.9430939406407,2356.7674686162018,2356.7674686162018,1360.9005240948238
2023-03-27T00:00:00Z,2357.1683033123313,2117.3009955920634,2117.3009955920634,2117.3009955920634,0,0,0,0,0,0,0,0,0,0,0,0,1345.6872517589597,1345.6872517589597,1345.6872517589597,0,0,0,0,0,0,403.81908132536086,403.81908132536086,403.81908132536086,367.7946625077434,367.7946625077434,367.7946625077434,0,0,0,2485.1349695900726,6336.387851062878,2357.1683033123313,2357.1683033123313,4474.469298904394
2023-03-28T00:00:00Z,2357.5691380084613,3545.908200993913,3545.908200993913,3545.908200993913,0,0,0,0,0,0,0,0,0,0,0,0,2471.496202006871,2471.496202006871,2471.496202006871,0,0,0,0,0,0,743.4385997411124,743.4385997411124,743.4385997411124,330.97339924592876,330.97339924592876,330.97339924592876,0,0,0,4074.215812040742,7744.708777673167,2357.5691380084613,2357.5691380084613,5903.477339002375
2023-03-29T00:00:00Z,2357.9699727045913,4589.947292191098,4589.947292191098,4589.947292191098,0,0,0,0,0,0,0,0,0,0,0,0,3494.3805438593035,3494.3805438593035,3494.3805438593035,0,0,0,0,0,0,801.9545292799561,801.9545292799561,801.9545292799561,293.6122190518366,293.6122190518366,293.6122190518366,0,0,0,5047.657728351691,8876.395922912603,2357.9699727045913,2357.9699727045913,6947.91726489569
2023-03-30T00:00:00Z,2358.3708074007213,4751.392536849454,4751.392536849454,4751.392536849454,0,0,0,0,0,0,0,0,0,0,0,0,3696.8364159323787,3696.8364159323787,3696.8364159323787,0,0,0,0,0,0,798.0372073401912,798.0372073401912,798.0372073401912,256.5189135768837,256.5189135768837,256.5189135768837,0,0,0,5267.992433792498,8872.007183114485,2358.3708074007213,2358.3708074007213,7109.763344250176
2023-03-31T00:00:00Z,2358.771642096851,3756.846803584734,3756.846803584734,3756.846803584734,0,0,0,0,0,0,0,0,0,0,0,0,2745.1021900656588,2745.1021900656588,2745.1021900656588,0,0,0,0,0,0,791.3013855998544,791.3013855998544,791.3013855998544,220.44322791922124,220.44322791922124,220.44322791922124,0,0,0,4227.2307052191345,7988.279967820525,2358.771642096851,2358.771642096851,6115.6184456815845
2023-04-01T00:00:00Z,2359.172476792981,-291.9336427860406,-291.9336427860406,-291.9336427860406,0,0,0,0,0,0,0,0,0,0,0,0,985.93353199669275,985.93353199669275,985.93353199669275,0,0,0,0,0,0,-1463.9273945081854,-1463.9273945081854,-1463.9273945081854,186.06021972545184,186.06021972545184,186.06021972545184,0,0,0,221.41807698814904,4038.3149951623823,2359.172476792981,2359.172476792981,2067.23883400694
2023-04-02T00:00:00Z,2359.573311489111,-2687.7131345884713,-2687.7131345884713,-2687.7131345884713,0,0,0,0,0,0,0,0,0,0,0,0,-767.0459599686885,-767.0459599686885,-767.0459599686885,0,0,0,0,0,0,-2074.6234087881735,-2074.6234087881735,-2074.6234087881735,153.95623416839007,153.95623416839007,153.95623416839007,0,0,0,-2206.2926565096545,1712.5747760138786,2359.573311489111,2359.573311489111,-328.13982309936046
2023-04-03T00:00:00Z,2359.9741461852404,-1267.0504105717484,-1267.0504105717484,-1267.0504105717484,0,0,0,0,0,0,0,0,0,0,0,0,-1795.4872837858375,-1795.4872837858375,-1795.4872837858375,0,0,0,0,0,0,403.8190813282421,403.8190813282421,403.8190813282421,124.61779188584698,124.61779188584698,124.61779188584698,0,0,0,-872.2148617601949,3044.6826962455543,2359.9741461852404,2359.9741461852404,1092.923735613492
2023-04-04T00:00:00Z,2360.3749808813704,-1092.2920941000243,-1092.2920941000243,-1092.2920941000243,0,0,0,0,0,0,0,0,0,0,0,0,-1934.1542930534351,-1934.1542930534351,-1934.1542930534351,0,0,0,0,0,0,743.4385997410964,743.4385997410964,743.4385997410964,98.42359921231444,98.42359921231444,98.42359921231444,0,0,0,-703.3927735434979,3127.3752700515934,2360.3749808813704,2360.3749808813704,1268.0828867813461
2023-04-05T00:00:00Z,2360.7758155775005,-696.0971930127916,-696.0971930127916,-696.0971930127916,0,0,0,0,0,0,0,0,0,0,0,0,-1573.6915209438355,-1573.6915209438355,-1573.6915209438355,0,0,0,0,0,0,801.954529279055,801.954529279055,801.954529279055,75.63979865198841,75.63979865198841,75.63979865198841,0,0,0,-269.5129966729539,3498.047248935636,2360.7758155775005,2360.7758155775005,1664.6786225647088
2023-04-06T00:00:00Z,2361.17665027363,-399.9681938920617,-399.9681938920617,-399.9681938920617,0,0,0,0,0,0,0,0,0,0,0,0,-1254.4238863984922,-1254.4238863984922,-1254.4238863984922,0,0,0,0,0,0,798.0372073395534,798.0372073395534,798.0372073395534,56.41848516687726,56.41848516687726,56.41848516687726,0,0,0,149.5671211291424,3868.3604758587976,2361.17665027363,2361.17665027363,1961.2084563815683
2023-04-07T00:00:00Z,2361.5774849697596,-397.6192380472501,-397.6192380472501,-397.6192380472501,0,0,0,0,0,0,0,0,0,0,0,0,-1229.7200467041519,-1229.7200467041519,-1229.7200467041519,0,0,0,0,0,0,791.3013856046032,791.3013856046032,791.3013856046032,40.79942305229839,40.79942305229839,40.79942305229839,0,0,0,28.037494905626787,3948.9999436512376,2361.5774849697596,2361.5774849697596,1963.9582469225095
2023-04-09T00:00:00Z,2362.3791543620196,-3409.2071432535954,-3409.2071432535954,-3409.2071432535954,0,0,0,0,0,0,0,0,0,0,0,0,-1354.580600772059,-1354.580600772059,-1354.580600772059,0,0,0,0,0,0,-2074.623408787615,-2074.623408787615,-2074.623408787615,19.996866306079806,19.996866306079806,19.996866306079806,0,0,0,-2827.6736310048013,892.5868189887545,2362.3791543620196,2362.3791543620196,-1046.8279888915758
