ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2015-09-09T00:00:00Z,1850.562670337531,65.15610370313304,65.15610370313304,65.15610370313304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-529.5955829596863,-529.5955829596863,-529.5955829596863,0,0,0,680.3910074680559,680.3910074680559,680.3910074680559,-85.63932080523674,-85.63932080523674,-85.63932080523674,0,0,0,97.3841408946272,3762.5430401619287,1850.562670337531,1850.562670337531,1915.7187740406641
2015-09-10T00:00:00Z,1850.439154661428,299.97099795837465,299.97099795837465,299.97099795837465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-402.3324368795674,-402.3324368795674,-402.3324368795674,0,0,0,805.2961840642437,805.2961840642437,805.2961840642437,-102.99274922630163,-102.99274922630163,-102.99274922630163,0,0,0,237.08652308507192,3912.2681000082875,1850.439154661428,1850.439154661428,2150.4101526198024
2015-09-11T00:00:00Z,1850.315638985325,222.84300052719226,222.84300052719226,222.84300052719226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-329.67624548241247,-329.67624548241247,-329.67624548241247,0,0,0,672.9087064385577,672.9087064385577,672.9087064385577,-120.38946042895289,-120.38946042895289,-120.38946042895289,0,0,0,190.00427724358872,3895.1770327219765,1850.315638985325,1850.315638985325,2073.1586395125173
2015-09-12T00:00:00Z,1850.1921233092219,-1787.6500828731798,-1787.6500828731798,-1787.6500828731798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-314.93428675151773,-314.93428675151773,-314.93428675151773,0,0,0,-1335.1706566995733,-1335.1706566995733,-1335.1706566995733,-137.54513942208882,-137.54513942208882,-137.54513942208882,0,0,0,-1731.1898737466693,1939.95357512735,1850.1921233092219,1850.1921233092219,62.54204043604204
2015-09-13T00:00:00Z,1850.068607633119,-2177.037878007187,-2177.037878007187,-2177.037878007187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-306.80171896161204,-306.80171896161204,-306.80171896161204,0,0,0,-1716.072455491313,-1716.072455491313,-1716.072455491313,-154.16370355426247,-154.16370355426247,-154.16370355426247,0,0,0,-2077.360408497043,1527.4825639062394,1850.068607633119,1850.068607633119,-326.96927037406795
2015-09-14T00:00:00Z,1849.945091957016,-106.68375609418285,-106.68375609418285,-106.68375609418285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-250.1030289952341,-250.1030289952341,-250.1030289952341,0,0,0,313.36318408258273,313.36318408258273,313.36318408258273,-169.94391118153166,-169.94391118153166,-169.94391118153166,0,0,0,-178.94515872902798,3589.8098045267448,1849.945091957016,1849.945091957016,1743.2613358628332
2015-09-15T00:00:00Z,1849.821576280913,253.61659039913002,253.61659039913002,253.61659039913002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141.08100987954808,-141.08100987954808,-141.08100987954808,0,0,0,579.2840301316741,579.2840301316741,579.2840301316741,-184.58642985299582,-184.58642985299582,-184.58642985299582,0,0,0,269.42404145108515,3778.9746095928854,1849.821576280913,1849.821576280913,2103.4381666800427
2015-09-16T00:00:00Z,1849.6980606048103,-1167.9261257382016,-1167.9261257382016,-1167.9261257382016,0,0,0,0,0,0,-1621.240424557823,-1621.240424557823,-1621.240424557823,0,0,0,0,0,0,-1621.240424557823,-1621.240424557823,-1621.240424557823,-29.27553262909207,-29.27553262909207,-29.27553262909207,0,0,0,680.3910074684012,680.3910074684012,680.3910074684012,-197.80117601968786,-197.80117601968786,-197.80117601968786,0,0,0,-954.9320922745338,2631.0037640971564,1849.6980606048103,1849.6980606048103,681.7719348666087
2015-09-17T00:00:00Z,1849.5745449287072,636.1560064060859,636.1560064060859,636.1560064060859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.174545981784,40.174545981784,40.174545981784,0,0,0,805.2961840647974,805.2961840647974,805.2961840647974,-209.3147236404954,-209.3147236404954,-209.3147236404954,0,0,0,778.2196840841931,4298.635567389471,1849.5745449287072,1849.5745449287072,2485.730551334793
2015-09-18T00:00:00Z,1849.4510292526043,541.4991219033818,541.4991219033818,541.4991219033818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.46798576543742,87.46798576543742,87.46798576543742,0,0,0,672.9087064415794,672.9087064415794,672.9087064415794,-218.877570303635,-218.877570303635,-218.877570303635,0,0,0,638.5946178462368,4076.8686956578235,1849.4510292526043,1849.4510292526043,2390.950151155986
